name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LTG5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG9	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG12	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG13	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG14	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG15	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG16	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LTG17	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LTG18	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LTG19	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG20	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG21	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG22	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG23	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG24	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG25	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG26	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG27	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG28	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG29	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG30	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG31	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG32	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG33	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG34	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG35	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG36	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG37	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG38	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG39	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG40	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG41	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG42	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG43	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG44	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG45	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG46	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG47	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG48	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG49	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LTG50	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LTG51	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
