subject,acq,run,sfreq,n_total_channels,n_picks,duration_s,segment_tmin,segment_tmax,has_onset_offset,rms_mean,ptp_mean,spectral_entropy_mean,bp_mean_delta_1_4,bp_mean_theta_4_8,bp_mean_alpha_8_13,bp_mean_beta_13_30,bp_mean_gamma_30_80,bp_mean_hfo_80_150,hj_activity_mean,hj_mobility_mean,hj_complexity_mean
jh101,ecog,1,1000.0,135,16,142.199,0.0,142.199,True,0.0001459280308119458,0.0014614364609375002,2.6068641005319058,6.6991016092283895e-09,3.211270284088529e-09,7.308500969557482e-10,1.1175859937942e-09,5.94591702059498e-10,1.907252541211253e-11,2.3048061594034753e-08,0.05002581519364786,17.258941822521635
jh101,ecog,2,1000.0,135,16,338.174,0.0,338.174,True,0.00014150699651904421,0.00159619493359375,3.1152592484269195,3.4772836056780007e-09,7.573172391524657e-10,3.9280188624220054e-10,3.6017946056454437e-10,9.566037469746788e-11,1.651009669570942e-11,1.1378796444560714e-08,0.10261302522708944,12.731110984417732
jh101,ecog,3,1000.0,135,16,142.199,0.0,142.199,True,0.00019599692725644446,0.00160832930078125,2.32297473881471,1.0693952736449167e-08,3.047944434341603e-09,8.708736818204839e-10,1.386312709247075e-09,4.769567840142722e-10,2.0430208966463376e-11,3.8205808352183657e-08,0.054952562360632964,17.565133300432517
